id,user_id,description,start_date,end_date,created_by,updated_by,vendor_table_ref_id,buyer_site_table_ref_id,dealer_site_table_ref_id
1,1,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.,18/01/2022,17/01/2022,4986,2160,3376,4400,4204
2,2,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,27/08/2021,09/07/2021,4071,744,4328,4709,2683
3,3,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",14/07/2021,09/01/2022,921,2089,4975,807,150
4,4,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,10/11/2021,21/02/2022,2091,4505,3101,2144,2795
5,5,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",06/01/2022,28/08/2021,4510,1372,4959,2739,3399
6,6,Nulla nisl. Nunc nisl.,21/01/2022,01/12/2021,1827,4502,34,2409,4406
7,7,In hac habitasse platea dictumst.,09/06/2022,23/10/2021,1801,4669,3891,3285,3239
8,8,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,07/02/2022,23/03/2022,3450,1750,4988,2731,4998
9,9,Fusce posuere felis sed lacus.,19/11/2021,16/06/2021,4560,2887,68,2999,2630
10,10,Sed accumsan felis. Ut at dolor quis odio consequat varius.,09/10/2021,11/02/2022,2693,2205,1200,2477,4448
11,11,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,27/02/2022,25/04/2022,2844,831,3714,2655,1884
12,12,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",24/08/2021,06/02/2022,794,3739,4428,2686,2325
13,13,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",29/01/2022,08/11/2021,1317,2005,235,1753,738
14,14,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.",08/09/2021,28/10/2021,2669,97,4539,3320,2620
15,15,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",24/04/2022,16/07/2021,3698,3419,1551,713,4195
16,16,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",18/09/2021,01/03/2022,4974,2605,1440,1993,2188
17,17,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.",20/06/2021,25/04/2022,3500,2150,613,1661,4066
18,18,Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,30/10/2021,27/04/2022,3467,1609,863,1858,3733
19,19,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",26/09/2021,09/04/2022,3579,1647,2369,4773,2945
20,20,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",22/08/2021,21/03/2022,1172,315,3706,1795,3933
21,21,Praesent blandit lacinia erat.,31/10/2021,10/08/2021,4955,1775,3936,1334,4094
22,22,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",18/06/2021,16/02/2022,1639,1874,4797,1412,949
23,23,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus.,08/12/2021,18/09/2021,3826,868,2232,3867,1158
24,24,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",16/10/2021,28/07/2021,996,661,49,2267,394
25,25,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.",16/03/2022,23/07/2021,3297,2515,1759,240,1365
26,26,Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,26/05/2022,26/06/2021,3259,3222,1643,3895,1857
27,27,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus.,27/12/2021,07/05/2022,3693,2570,3385,1721,890
28,28,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,28/05/2022,10/04/2022,1495,1133,3543,627,4388
29,29,In hac habitasse platea dictumst.,28/10/2021,03/05/2022,2591,2030,4701,236,1774
