id,start_date,end_date,created_by,updated_by,buyer_site_id,vds_rltn_id,description
1,04/11/2021,13/02/2022,3031,1377,4288,3588,Aliquam non mauris.
2,19/10/2021,11/03/2022,206,4152,2662,2612,In congue. Etiam justo.
3,24/08/2021,25/12/2021,2356,4099,3841,2975,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
4,19/01/2022,17/02/2022,2907,20,922,241,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis."
5,08/05/2022,04/11/2021,518,4810,543,1879,Proin interdum mauris non ligula pellentesque ultrices.
6,09/10/2021,01/04/2022,1833,890,810,1898,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci."
7,26/12/2021,12/12/2021,2020,4432,3078,454,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque."
8,19/01/2022,14/02/2022,4439,3356,517,3921,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
9,18/02/2022,24/08/2021,2052,405,4355,1382,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum."
10,13/12/2021,01/06/2022,4862,3579,1023,3226,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus."
11,05/12/2021,15/09/2021,2845,2158,4004,4730,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo."
12,19/06/2021,02/02/2022,421,3983,3977,4449,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
13,07/02/2022,03/10/2021,990,3453,3777,2590,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum."
14,02/09/2021,17/03/2022,646,3636,2768,737,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue."
15,08/09/2021,21/02/2022,1800,2175,3009,1348,Duis consequat dui nec nisi volutpat eleifend.
16,20/01/2022,25/09/2021,3012,3952,3192,3452,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.
17,23/11/2021,22/11/2021,2322,1704,2801,2995,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla."
18,20/12/2021,31/05/2022,1713,1519,2537,995,Donec vitae nisi.
19,26/09/2021,04/12/2021,13,3532,1268,2221,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat."
20,04/09/2021,03/09/2021,4165,3008,3325,3798,Morbi a ipsum.
21,10/04/2022,20/12/2021,1308,403,1583,1939,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
22,12/09/2021,19/01/2022,3367,1706,3332,1336,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.
23,19/06/2021,10/09/2021,2804,1213,4927,1254,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla."
24,13/12/2021,21/11/2021,2898,4717,2313,547,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat."
25,18/02/2022,20/09/2021,4822,1150,3299,262,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
26,21/10/2021,21/10/2021,991,2359,1601,3468,"Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
27,17/04/2022,15/09/2021,4416,4983,3562,1896,Ut tellus. Nulla ut erat id mauris vulputate elementum.
28,13/10/2021,24/07/2021,2776,3469,2798,783,Proin eu mi. Nulla ac enim.
29,20/11/2021,22/06/2021,1948,1014,3989,1683,Vestibulum rutrum rutrum neque.
30,17/09/2021,08/03/2022,527,1261,1025,3973,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
31,26/12/2021,16/06/2021,4434,491,1465,1203,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.
32,09/12/2021,14/11/2021,3517,1964,4006,1050,Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.
33,29/04/2022,15/04/2022,2652,1970,762,2388,Proin at turpis a pede posuere nonummy.
34,09/10/2021,07/04/2022,3923,2248,3004,2867,"Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
35,23/05/2022,20/10/2021,126,1446,1511,1698,"Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
36,26/03/2022,26/07/2021,4971,1581,929,2214,In hac habitasse platea dictumst.
37,27/04/2022,01/10/2021,2854,1294,4188,456,"Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
38,25/12/2021,29/05/2022,1560,4195,423,4927,Nulla ut erat id mauris vulputate elementum. Nullam varius.
39,24/08/2021,10/08/2021,1192,3615,4237,1340,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit."
40,04/04/2022,22/10/2021,4097,265,1240,1982,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
41,17/05/2022,18/02/2022,2867,373,3130,4765,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor."
42,30/09/2021,26/06/2021,4161,3014,2514,2614,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
43,10/11/2021,12/02/2022,631,1246,3581,1899,"Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa."
44,13/02/2022,18/05/2022,2671,263,4556,1726,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.
45,28/10/2021,14/02/2022,4719,803,3836,1256,"Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula."
46,30/04/2022,12/09/2021,3554,2044,3631,3494,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti."
47,24/11/2021,28/11/2021,3600,1053,225,955,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.
48,14/04/2022,27/03/2022,2981,144,143,1027,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede."
49,24/10/2021,29/07/2021,2956,2615,732,856,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante."
50,25/09/2021,29/04/2022,2168,1482,2345,4912,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus."
51,26/03/2022,02/03/2022,3441,3019,4725,2944,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis."
52,17/09/2021,27/10/2021,1410,3503,4563,4078,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat."
53,06/03/2022,29/01/2022,4145,4358,1330,3637,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti."
54,03/12/2021,02/10/2021,3026,4435,1683,4784,"Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede."
55,28/05/2022,06/05/2022,616,4071,2592,3914,Sed accumsan felis. Ut at dolor quis odio consequat varius.
56,06/01/2022,20/10/2021,1514,730,320,2244,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.
57,31/03/2022,03/09/2021,2308,932,456,587,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl."
58,17/07/2021,17/11/2021,457,215,1334,3262,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.
59,14/07/2021,25/11/2021,4288,944,4910,2068,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
60,06/03/2022,11/08/2021,1114,1533,3602,1513,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum."
61,26/08/2021,29/08/2021,1299,662,4255,4,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
62,09/01/2022,14/03/2022,2425,294,1734,3296,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.
63,25/02/2022,21/04/2022,4745,2268,3515,2391,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
64,18/10/2021,02/04/2022,3601,530,3952,47,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst."
65,20/12/2021,19/12/2021,3703,3179,2493,2677,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien."
66,09/06/2022,19/12/2021,1683,3785,3241,2905,In hac habitasse platea dictumst.
67,19/08/2021,18/10/2021,4186,2555,1899,4414,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
68,12/08/2021,14/08/2021,882,4049,3055,2572,Morbi a ipsum. Integer a nibh.
69,27/08/2021,05/07/2021,3952,4218,4216,3740,"Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
70,18/12/2021,20/10/2021,4810,1019,996,3806,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante."
71,14/02/2022,21/03/2022,1485,2096,2646,2412,Donec vitae nisi.
72,26/05/2022,03/11/2021,1434,1175,3046,1647,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis."
73,19/08/2021,14/12/2021,4662,692,2213,2110,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque."
74,23/10/2021,06/02/2022,3253,4273,3689,4834,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue."
75,16/06/2021,14/11/2021,2544,2917,3925,1695,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl."
76,30/05/2022,10/06/2022,1477,2877,481,1059,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
77,11/01/2022,10/07/2021,3776,4609,646,2413,"Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante."
78,27/11/2021,15/06/2021,4938,1872,1764,3278,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor."
79,10/06/2022,19/06/2021,2756,4778,4419,4700,Integer ac leo.
80,14/07/2021,03/11/2021,1488,2452,3217,882,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.
81,10/02/2022,04/02/2022,1019,2933,1127,281,Aliquam erat volutpat. In congue. Etiam justo.
82,08/05/2022,12/07/2021,1067,3302,1666,4994,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus."
83,12/01/2022,15/03/2022,3127,3114,1559,4954,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.
84,19/02/2022,20/03/2022,1075,3212,1169,1678,Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.
85,08/05/2022,07/08/2021,937,383,1569,1315,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis."
86,26/07/2021,26/08/2021,4701,4460,1623,2508,Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.
87,17/03/2022,18/10/2021,1754,4861,662,2628,Vivamus vel nulla eget eros elementum pellentesque.
88,01/08/2021,02/04/2022,3892,3873,230,2690,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.
89,27/11/2021,03/03/2022,3775,3489,4150,113,Nulla tempus.
90,02/02/2022,18/05/2022,4806,4624,2918,3429,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam."
91,08/08/2021,30/10/2021,137,3706,1197,4425,Proin eu mi.
92,06/04/2022,17/09/2021,2253,4949,1813,1745,Pellentesque viverra pede ac diam.
93,23/05/2022,31/08/2021,3545,3967,542,3663,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque."
94,28/02/2022,03/10/2021,335,601,2799,3038,Maecenas tincidunt lacus at velit.
95,18/11/2021,23/05/2022,528,1877,4650,2290,Donec semper sapien a libero. Nam dui.
96,09/03/2022,17/05/2022,3001,4736,4306,3216,Morbi a ipsum.
